group,regime,bias,policy,chosen_shift,reported_intensity,output_reference_safe,abstention,reference_capacity_selected_partition,reference_best_capacity,partition_selection_loss,operating_point_loss,safe_operating_point_loss,reference_nonmonotone
h105-o900-d30-heterogeneous-fast,decode,1.0,capacity_derating_20pct,0,0.004,True,False,0.0085371232,0.0091103091,0.06291618579659386,0.5609369609643651,0.5609369609643651,False
h105-o900-d30-heterogeneous-fast,decode,1.0,four_scenarios,0,0.004,True,False,0.0085371232,0.0091103091,0.06291618579659386,0.5609369609643651,0.5609369609643651,False
h105-o900-d30-heterogeneous-fast,decode,1.0,selected_point_reference,-2,0.0091103091,True,False,0.0091103091,0.0091103091,0.0,0.0,0.0,False
h105-o900-d30-heterogeneous-fast,decode,1.0,selected_partition_boundary_reference,-2,0.0091103091,True,False,0.0091103091,0.0091103091,0.0,0.0,0.0,False
h105-o900-d30-heterogeneous-fast,decode,0.9,evaluator_only,0,0.0095136569,False,False,0.0085371232,0.0091103091,0.06291618579659386,-0.04427377771408447,1.0,False
h105-o900-d30-heterogeneous-fast,decode,0.9,compute_margin_25pct,-2,0.008,True,False,0.0091103091,0.0091103091,0.0,0.12187392192873014,0.12187392192873014,False
h105-o900-d30-heterogeneous-fast,decode,0.9,capacity_derating_20pct,0,0.004,True,False,0.0085371232,0.0091103091,0.06291618579659386,0.5609369609643651,0.5609369609643651,False
h105-o900-d30-heterogeneous-fast,decode,0.9,four_scenarios,-2,0.008,True,False,0.0091103091,0.0091103091,0.0,0.12187392192873014,0.12187392192873014,False
h105-o900-d30-heterogeneous-fast,decode,0.9,selected_point_reference,,,,True,,0.0091103091,,,1.0,False
h105-o900-d30-heterogeneous-fast,decode,0.9,selected_partition_boundary_reference,,,,True,,0.0091103091,,,1.0,False
h105-o900-d30-heterogeneous-fast,prefill,1.0,evaluator_only,0,5.0866495983,True,False,37.3158259837,41.5842617652,0.10264546249735418,0.8776784922377343,0.8776784922377343,False
h105-o900-d30-heterogeneous-fast,prefill,1.0,compute_margin_25pct,0,1.024,True,False,37.3158259837,41.5842617652,0.10264546249735418,0.9753752992951545,0.9753752992951545,False
h105-o900-d30-heterogeneous-fast,prefill,1.0,capacity_derating_20pct,0,1.024,True,False,37.3158259837,41.5842617652,0.10264546249735418,0.9753752992951545,0.9753752992951545,False
h105-o900-d30-heterogeneous-fast,prefill,1.0,four_scenarios,0,1.024,True,False,37.3158259837,41.5842617652,0.10264546249735418,0.9753752992951545,0.9753752992951545,False
h105-o900-d30-heterogeneous-fast,prefill,1.0,selected_point_reference,0,5.0866495983,True,False,37.3158259837,41.5842617652,0.10264546249735418,0.8776784922377343,0.8776784922377343,False
h105-o900-d30-heterogeneous-fast,prefill,1.0,selected_partition_boundary_reference,0,8.192,True,False,37.3158259837,41.5842617652,0.10264546249735418,0.803002394361236,0.803002394361236,False
h105-o900-d30-heterogeneous-fast,prefill,0.9,evaluator_only,0,5.7926187515,True,False,37.3158259837,41.5842617652,0.10264546249735418,0.8607016571748405,0.8607016571748405,False
h105-o900-d30-heterogeneous-fast,prefill,0.9,compute_margin_25pct,0,1.024,True,False,37.3158259837,41.5842617652,0.10264546249735418,0.9753752992951545,0.9753752992951545,False
h105-o900-d30-heterogeneous-fast,prefill,0.9,capacity_derating_20pct,0,4.466719673,True,False,37.3158259837,41.5842617652,0.10264546249735418,0.8925862938671187,0.8925862938671187,False
h105-o900-d30-heterogeneous-fast,prefill,0.9,four_scenarios,0,1.024,True,False,37.3158259837,41.5842617652,0.10264546249735418,0.9753752992951545,0.9753752992951545,False
h105-o900-d30-heterogeneous-fast,prefill,0.9,selected_point_reference,0,5.7926187515,True,False,37.3158259837,41.5842617652,0.10264546249735418,0.8607016571748405,0.8607016571748405,False
