grid_version,workload,band,g0_min,g0_max,metric,scheduled_points,pairable_points,E_status_counts,R_status_counts,pairable_coverage,coverage_na_reason,median_signed,median_absolute,p90_absolute,p95_absolute,mean_signed,MAE,min,max,na_reason,valid_workloads,valid_candidates,valid_points,valid_requests,inapplicable_or_small_reference_requests,weighting
G0,w201,high,0.001,65.536,TPOT,45,5,"{""complete"":5,""unsupported_profile_domain"":40}","{""complete"":45}",0.1111111111111111,,-0.03779379344207495,0.03779379344207495,0.1463151955381946,0.3127799210857697,-0.0761268493083147,0.07615146339563557,-0.3309550446251588,0.00048340936020491165,,1,5,5,65,0,equal workload/candidate/point/request
G0,w202,low,0.001,65.536,TTFT,40,40,"{""complete"":40}","{""complete"":40}",1.0,,-0.05967650322781992,0.05973553046806046,0.07779785486673063,0.11286001405051138,-0.0446972900784597,0.05438429884172575,-0.11764121764281299,0.21935362436533978,,1,5,40,1920,0,equal workload/candidate/point/request
G0,w202,low,0.001,65.536,TPOT,40,40,"{""complete"":40}","{""complete"":40}",1.0,,-5.902721386519261e-05,5.902721546668932e-05,5.902722796705118e-05,5.902723121556375e-05,-2.901771354772405e-05,8.263270278069362e-05,-5.902723122014342e-05,0.007912080994336657,,1,5,40,1920,0,equal workload/candidate/point/request
G0,w202,middle,0.001,65.536,TTFT,50,40,"{""complete"":40,""unsupported_profile_domain"":10}","{""complete"":50}",0.8,,0.18732230402980576,0.18732230402980576,1.2172271533081016,4.267216412888388,0.6067577822877255,0.613557654701866,-0.11764121757130397,7.731868748455803,,1,5,40,1920,0,equal workload/candidate/point/request
G0,w202,middle,0.001,65.536,TPOT,50,40,"{""complete"":40,""unsupported_profile_domain"":10}","{""complete"":50}",0.8,,0.001649784664320475,0.01191908887822929,0.05452820544396286,0.0726127623514396,-0.003576568887968823,0.022958154772479745,-0.1551887949581235,0.31943204770254086,,1,5,40,1920,0,equal workload/candidate/point/request
G0,w202,high,0.001,65.536,TTFT,35,0,"{""unsupported_profile_domain"":35}","{""complete"":35}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G0,w202,high,0.001,65.536,TPOT,35,0,"{""unsupported_profile_domain"":35}","{""complete"":35}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G0,w203,low,0.001,65.536,TTFT,20,20,"{""complete"":20}","{""complete"":20}",1.0,,-0.06398548913595459,0.06398548913595459,0.07106875361500897,0.07106875361751008,-0.04756412098082073,0.04756412098082073,-0.07106875362660503,-0.012395712810757686,,1,5,20,100,0,equal workload/candidate/point/request
G0,w203,low,0.001,65.536,TPOT,20,20,"{""complete"":20}","{""complete"":20}",1.0,,-5.902720403599959e-05,5.902720403599959e-05,5.9027218743401555e-05,5.902722034112351e-05,-5.902720743557355e-05,5.902720743557355e-05,-5.9027231190611484e-05,-5.902720167255682e-05,,1,5,20,100,0,equal workload/candidate/point/request
G0,w203,middle,0.001,65.536,TTFT,40,40,"{""complete"":40}","{""complete"":40}",1.0,,-0.02343379998853834,0.06693684933631516,0.21067229356017947,0.22987229356022,0.04509938042850217,0.10768169969085202,-0.07106875361633058,0.7804761527756767,,1,5,40,200,0,equal workload/candidate/point/request
G0,w203,middle,0.001,65.536,TPOT,40,40,"{""complete"":40}","{""complete"":40}",1.0,,-5.9027203991313115e-05,5.902720459971533e-05,0.006467823296573444,0.007122193335800525,0.0016855781904775626,0.0017488347043727193,-5.902720463124567e-05,0.015850672543267025,,1,5,40,200,0,equal workload/candidate/point/request
G0,w203,high,0.001,65.536,TTFT,65,65,"{""complete"":65}","{""complete"":65}",1.0,,5.804341323649107,5.804341323649107,6.349942157734816,6.393692760352568,4.977626279934208,4.979595064215315,-0.06398548913595548,6.431380529721102,,1,5,65,325,0,equal workload/candidate/point/request
G0,w203,high,0.001,65.536,TPOT,65,65,"{""complete"":65}","{""complete"":65}",1.0,,0.009215222672375706,0.009391785906545325,0.010340533690145814,0.011730492840081042,0.0062290533782740935,0.007617099342172359,-0.02738287558578284,0.017272932606128832,,1,5,65,325,0,equal workload/candidate/point/request
G0,w204,low,0.001,65.536,TTFT,40,40,"{""complete"":40}","{""complete"":40}",1.0,,-0.04595601689288742,0.05498203818024194,0.07474489528976846,0.1094331339445489,-0.035307588409518434,0.04820761220653758,-0.10943313395364385,0.18347630271091475,,1,5,40,1760,0,equal workload/candidate/point/request
G0,w204,low,0.001,65.536,TPOT,40,40,"{""complete"":40}","{""complete"":40}",1.0,,-5.899361599404074e-05,5.899361599734365e-05,5.8993632400167195e-05,5.899363716022066e-05,-3.158504521119786e-05,7.89589563717513e-05,-5.89936372467903e-05,0.00151631749480588,,1,5,40,1760,0,equal workload/candidate/point/request
G0,w204,middle,0.001,65.536,TTFT,45,40,"{""complete"":40,""unsupported_profile_domain"":5}","{""complete"":45}",0.8888888888888888,,0.20015196501773858,0.20017614633212588,5.155785725907364,8.699750166101651,1.5860761675121384,1.6007638390779344,-0.3138592041113384,21.913008918702886,,1,5,40,1760,0,equal workload/candidate/point/request
G0,w204,middle,0.001,65.536,TPOT,45,40,"{""complete"":40,""unsupported_profile_domain"":5}","{""complete"":45}",0.8888888888888888,,-0.012360948388486503,0.03142683002267904,0.0955548371819116,0.169969339103324,0.004792558761045049,0.05020992103627455,-0.3299175991920084,0.8532171397157852,,1,5,40,1760,0,equal workload/candidate/point/request
G0,w204,high,0.001,65.536,TTFT,40,0,"{""unsupported_profile_domain"":40}","{""complete"":40}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G0,w204,high,0.001,65.536,TPOT,40,0,"{""unsupported_profile_domain"":40}","{""complete"":40}",0.0,,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
