group,workload,sla,ttft_s,tpot_s,variant,selected_shift,evaluator_best_set,reference_best_set,selected_reference_rank,reference_regret,normalized_reference_quality,winner_agrees,abstention,spearman,reference_top_gap,evaluator_scores,reference_scores,best_set_overlap,incomplete_reference,mismatch_type,reference_best_capacity,selected_partition_reference_capacity,evaluator_recommended_intensity,partition_selection_loss,operating_point_loss,allocation_component,exact_reference_safe,safe_usable_load,safe_operating_point_loss,recommendation_violations,reference_nonmonotone,evaluator_nonmonotone,reference_no_safe_candidates,evaluator_no_safe_candidates,unresolved
h102-o300-d120-a100-slow,h102-o300-d120,decode,2.0,0.15,Legacy-Full,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.004}","{""0"":0.0194439577}",[0],False,agreement,0.0194439577,0.0194439577,0.004,0.0,0.7942805645992533,0.7942805645992533,True,0.004,0.7942805645992533,"{""safe"":true,""max_ttft_s"":1.8832470733131048,""max_native_ttft_s"":1.995673102205619,""max_tpot_s"":0.1174260288925143,""violating_requests"":0,""request_count"":54,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":162.27449791698018}",True,False,[],[],True
h102-o300-d120-a100-slow,h102-o300-d120,decode,2.0,0.15,Legacy-Remaining,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.004}","{""0"":0.0194439577}",[0],False,agreement,0.0194439577,0.0194439577,0.004,0.0,0.7942805645992533,0.7942805645992533,True,0.004,0.7942805645992533,"{""safe"":true,""max_ttft_s"":1.8832470733131048,""max_native_ttft_s"":1.995673102205619,""max_tpot_s"":0.1174260288925143,""violating_requests"":0,""request_count"":54,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":162.27449791698018}",True,False,[],[],True
h102-o300-d120-a100-slow,h102-o300-d120,relaxed_decode,2.0,1.0,Raw-Full,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.0212037863}","{""0"":0.0207494329}",[0],False,agreement,0.0207494329,0.0207494329,0.0212037863,0.0,-0.02189714784927932,-0.021897147849279267,False,0.0,1.0,"{""safe"":false,""max_ttft_s"":1.883247073255352,""max_native_ttft_s"":1.9956731020641927,""max_tpot_s"":1.8628788141257973,""violating_requests"":3,""request_count"":54,""violating_request_fraction"":0.05555555555555555,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.8628788141257973,""max_normalized_excess"":0.8628788141257973,""drained"":true,""runtime_s"":42.60126589995343}",False,False,[],[],False
h102-o300-d120-a100-slow,h102-o300-d120,relaxed_decode,2.0,1.0,Raw-Remaining,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.0212037863}","{""0"":0.0207494329}",[0],False,agreement,0.0207494329,0.0207494329,0.0212037863,0.0,-0.02189714784927932,-0.021897147849279267,False,0.0,1.0,"{""safe"":false,""max_ttft_s"":1.883247073255352,""max_native_ttft_s"":1.9956731020641927,""max_tpot_s"":1.8628788141257973,""violating_requests"":3,""request_count"":54,""violating_request_fraction"":0.05555555555555555,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.8628788141257973,""max_normalized_excess"":0.8628788141257973,""drained"":true,""runtime_s"":42.60126589995343}",False,False,[],[],False
h102-o300-d120-a100-slow,h102-o300-d120,relaxed_decode,2.0,1.0,Legacy-Full,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.019869725}","{""0"":0.0207494329}",[0],False,agreement,0.0207494329,0.0207494329,0.019869725,0.0,0.04239672015325291,0.04239672015325289,True,0.019869725,0.04239672015325291,"{""safe"":true,""max_ttft_s"":1.883247073255352,""max_native_ttft_s"":1.9956731020641927,""max_tpot_s"":0.1560389149409548,""violating_requests"":0,""request_count"":54,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":46.37390180001967}",False,False,[],[],True
h102-o300-d120-a100-slow,h102-o300-d120,relaxed_decode,2.0,1.0,Legacy-Remaining,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.019869725}","{""0"":0.0207494329}",[0],False,agreement,0.0207494329,0.0207494329,0.019869725,0.0,0.04239672015325291,0.04239672015325289,True,0.019869725,0.04239672015325291,"{""safe"":true,""max_ttft_s"":1.883247073255352,""max_native_ttft_s"":1.9956731020641927,""max_tpot_s"":0.1560389149409548,""violating_requests"":0,""request_count"":54,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":46.37390180001967}",False,False,[],[],True
h103-o500-d30-a100-slow,h103-o500-d30,decode,2.0,0.15,Raw-Full,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.016}","{""0"":0.015657153}",[0],False,agreement,0.015657153,0.015657153,0.016,0.0,-0.021897148223562812,-0.021897148223562757,False,0.0,1.0,"{""safe"":false,""max_ttft_s"":1.7372011271012342,""max_native_ttft_s"":1.849627155904959,""max_tpot_s"":1.1039344049369264,""violating_requests"":1,""request_count"":15,""violating_request_fraction"":0.06666666666666667,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.9539344049369264,""max_normalized_excess"":6.359562699579509,""drained"":true,""runtime_s"":12.974580099980813}",False,False,[],[],False
h103-o500-d30-a100-slow,h103-o500-d30,decode,2.0,0.15,Raw-Remaining,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.016}","{""0"":0.015657153}",[0],False,agreement,0.015657153,0.015657153,0.016,0.0,-0.021897148223562812,-0.021897148223562757,False,0.0,1.0,"{""safe"":false,""max_ttft_s"":1.7372011271012342,""max_native_ttft_s"":1.849627155904959,""max_tpot_s"":1.1039344049369264,""violating_requests"":1,""request_count"":15,""violating_request_fraction"":0.06666666666666667,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.9539344049369264,""max_normalized_excess"":6.359562699579509,""drained"":true,""runtime_s"":12.974580099980813}",False,False,[],[],False
h103-o500-d30-a100-slow,h103-o500-d30,decode,2.0,0.15,Legacy-Full,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.0153216525}","{""0"":0.015657153}",[0],False,agreement,0.015657153,0.015657153,0.0153216525,0.0,0.021427937761098748,0.021427937761098744,True,0.0153216525,0.021427937761098748,"{""safe"":true,""max_ttft_s"":1.7372011271012342,""max_native_ttft_s"":1.849627155904959,""max_tpot_s"":0.11742602881111452,""violating_requests"":0,""request_count"":15,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":15.175630900019314}",False,False,[],[],False
h103-o500-d30-a100-slow,h103-o500-d30,decode,2.0,0.15,Legacy-Remaining,0,[0],[0],1,0.0,1.0,True,False,,,"{""0"":0.0153216525}","{""0"":0.015657153}",[0],False,agreement,0.015657153,0.015657153,0.0153216525,0.0,0.021427937761098748,0.021427937761098744,True,0.0153216525,0.021427937761098748,"{""safe"":true,""max_ttft_s"":1.7372011271012342,""max_native_ttft_s"":1.849627155904959,""max_tpot_s"":0.11742602881111452,""violating_requests"":0,""request_count"":15,""violating_request_fraction"":0.0,""max_ttft_excess_s"":0.0,""max_tpot_excess_s"":0.0,""max_normalized_excess"":0.0,""drained"":true,""runtime_s"":15.175630900019314}",False,False,[],[],False
