group,shift,intensity,sla,variant,runtime_s,events
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT1.2,Legacy-Remaining,0.006223800010047853,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT1.2,Raw-Full,0.006659700011368841,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT1.2,Raw-Remaining,0.0061218999908305705,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT1.2,Legacy-Full,0.006220000039320439,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT5,Legacy-Remaining,0.006275199993979186,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT5,Raw-Full,0.006113199982792139,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT5,Raw-Remaining,0.006420800054911524,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT5,Legacy-Full,0.0062571000307798386,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT10,Legacy-Remaining,0.006640699983108789,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT10,Raw-Full,0.006252899998798966,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT10,Raw-Remaining,0.006607399962376803,222
w201-heterogeneous-fast,2,0.004,TTFT5.2_TPOT10,Legacy-Full,0.00618709996342659,222
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT0.3,Raw-Full,0.005839599994942546,207
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT0.3,Raw-Remaining,0.006301400018855929,207
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT0.3,Legacy-Full,0.0017150999628938735,58
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT0.3,Legacy-Remaining,0.0018099999870173633,58
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT1.2,Raw-Full,0.00702709995675832,222
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT1.2,Raw-Remaining,0.006671299983281642,222
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT1.2,Legacy-Full,0.0067048000055365264,222
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT1.2,Legacy-Remaining,0.006674800009932369,222
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT5,Raw-Full,0.006536500004585832,222
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT5,Raw-Remaining,0.0070863000000827014,222
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT5,Legacy-Full,0.006638700026087463,222
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT5,Legacy-Remaining,0.0068106999970041215,222
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT10,Raw-Full,0.006448199972510338,222
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT10,Raw-Remaining,0.007144399976823479,222
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT10,Legacy-Full,0.006563000031746924,222
w201-heterogeneous-fast,-2,0.016,TTFT5.2_TPOT10,Legacy-Remaining,0.0067758000222966075,222
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT0.3,Raw-Remaining,0.0017967000021599233,58
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT0.3,Legacy-Full,0.0017018999787978828,58
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT0.3,Legacy-Remaining,0.0016968999989330769,58
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT0.3,Raw-Full,0.0016796000418253243,58
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT1.2,Raw-Remaining,0.0067208000109530985,222
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT1.2,Legacy-Full,0.006533500039950013,222
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT1.2,Legacy-Remaining,0.006872600002679974,222
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT1.2,Raw-Full,0.006783799966797233,222
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT5,Raw-Remaining,0.006687699991744012,222
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT5,Legacy-Full,0.006704900006297976,222
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT5,Legacy-Remaining,0.006511299987323582,222
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT5,Raw-Full,0.006854199978988618,222
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT10,Raw-Remaining,0.006661100022029132,222
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT10,Legacy-Full,0.006888100004289299,222
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT10,Legacy-Remaining,0.006698200013488531,222
w201-heterogeneous-fast,-1,0.016,TTFT5.2_TPOT10,Raw-Full,0.006909499992616475,222
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT0.3,Legacy-Full,0.001629200007300824,57
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT0.3,Legacy-Remaining,0.0018366999574936926,57
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT0.3,Raw-Full,0.0017167999758385122,57
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT0.3,Raw-Remaining,0.0017005999688990414,57
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT1.2,Legacy-Full,0.007634399982634932,222
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT1.2,Legacy-Remaining,0.007118100009392947,222
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT1.2,Raw-Full,0.00702859996818006,222
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT1.2,Raw-Remaining,0.0067906000185757875,222
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT5,Legacy-Full,0.006959299964364618,222
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT5,Legacy-Remaining,0.006970699992962182,222
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT5,Raw-Full,0.006732799985911697,222
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT5,Raw-Remaining,0.006620800006203353,222
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT10,Legacy-Full,0.0065885999938473105,222
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT10,Legacy-Remaining,0.0068641999969258904,222
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT10,Raw-Full,0.006864700000733137,222
w201-heterogeneous-fast,0,0.016,TTFT5.2_TPOT10,Raw-Remaining,0.00690869998652488,222
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT0.3,Legacy-Remaining,0.001658199995290488,57
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT0.3,Raw-Full,0.0016724999877624214,57
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT0.3,Raw-Remaining,0.001838300027884543,57
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT0.3,Legacy-Full,0.0017334000440314412,57
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT1.2,Legacy-Remaining,0.007105600030627102,222
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT1.2,Raw-Full,0.006762599979992956,222
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT1.2,Raw-Remaining,0.007182899978943169,222
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT1.2,Legacy-Full,0.006664799991995096,222
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT5,Legacy-Remaining,0.006953199976123869,222
w201-heterogeneous-fast,1,0.016,TTFT5.2_TPOT5,Raw-Full,0.00662719999672845,222
