group,workload,sla,ttft_s,tpot_s,variant,both_safe,both_unsafe,optimistic,conservative,paired_denominator,missing
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT5,5.2,5.0,Legacy-Remaining,140,58,0,167,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT10,5.2,10.0,Raw-Full,184,58,0,123,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT10,5.2,10.0,Raw-Remaining,210,58,0,97,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT10,5.2,10.0,Legacy-Full,183,58,0,124,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT5.2_TPOT10,5.2,10.0,Legacy-Remaining,210,58,0,97,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT4.68_TPOT1.2,4.68,1.2,Raw-Full,45,320,0,0,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT4.68_TPOT1.2,4.68,1.2,Raw-Remaining,45,320,0,0,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT4.68_TPOT1.2,4.68,1.2,Legacy-Full,40,320,0,5,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT4.68_TPOT1.2,4.68,1.2,Legacy-Remaining,40,320,0,5,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT4.68_TPOT10,4.68,10.0,Raw-Full,184,116,0,65,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT4.68_TPOT10,4.68,10.0,Raw-Remaining,210,116,0,39,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT4.68_TPOT10,4.68,10.0,Legacy-Full,183,116,0,66,365,0
h105-o900-d30-heterogeneous-fast,h105-o900-d30,TTFT4.68_TPOT10,4.68,10.0,Legacy-Remaining,210,116,0,39,365,0
