case_id,group,workload,kind,regime,sla_label,shift,role,raw_relative_gap,legacy_relative_gap,raw_largest_safe,raw_nearest_unsafe_above,raw_all_unsafe,raw_right_censored,raw_nonmonotone,raw_single_boundary_supported,legacy_largest_safe,legacy_nearest_unsafe_above,legacy_all_unsafe,legacy_right_censored,legacy_nonmonotone,legacy_single_boundary_supported,reference_largest_safe,reference_nearest_unsafe_above,reference_all_unsafe,reference_right_censored,reference_nonmonotone,reference_single_boundary_supported
h104-o700-d120-heterogeneous-fast-decode-shift1,h104-o700-d120-heterogeneous-fast,h104-o700-d120,heterogeneous,decode,tight-TPOT,1,primary,0.0,-0.021427946507967043,0.0032209806,0.0032915109,False,False,False,True,0.0031519616,0.0032209806,False,False,False,True,0.0032209806,0.0032915109,False,False,False,True
h104-o700-d120-heterogeneous-fast-decode-shift2,h104-o700-d120-heterogeneous-fast,h104-o700-d120,heterogeneous,decode,tight-TPOT,2,primary,0.0,-0.02142792602549474,0.0031519616,0.0032209806,False,False,False,True,0.0030844216,0.0031519616,False,False,False,True,0.0031519616,0.0032209806,False,False,False,True
h104-o700-d120-heterogeneous-fast-prefill-shift-1,h104-o700-d120-heterogeneous-fast,h104-o700-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),-1,primary,-0.803002394360606,-0.8072236468235089,1.1916542554,1.2177480858,False,False,False,True,1.166119562,1.1916542554,False,False,False,True,6.0490798938,6.1815374955,False,False,False,True
h104-o700-d120-heterogeneous-fast-prefill-shift-2,h104-o700-d120-heterogeneous-fast,h104-o700-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),-2,primary,-0.7851725877337055,-0.7851725877337055,1.166119562,1.1916542554,False,False,False,True,1.166119562,1.1916542554,False,False,False,True,5.4281692904,5.5470307203,False,False,False,True
h104-o700-d120-heterogeneous-fast-prefill-shift0,h104-o700-d120-heterogeneous-fast,h104-o700-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),0,primary,-0.823223304703752,-0.823223304703752,1.1916542554,1.2177480858,False,False,False,True,1.1916542554,1.2177480858,False,False,False,True,6.7410144386,6.8886234338,False,False,False,True
h104-o700-d120-heterogeneous-fast-prefill-shift1,h104-o700-d120-heterogeneous-fast,h104-o700-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),1,primary,-0.823223304703752,-0.823223304703752,1.1916542554,1.2177480858,False,False,False,True,1.1916542554,1.2177480858,False,False,False,True,6.7410144386,6.8886234338,False,False,False,True
h104-o700-d120-heterogeneous-fast-prefill-shift2,h104-o700-d120-heterogeneous-fast,h104-o700-d120,heterogeneous,prefill,relaxed-TPOT (fixed TTFT),2,primary,-0.7986887085012498,-0.803002394360606,1.2177480858,1.2444132967,False,False,False,True,1.1916542554,1.2177480858,False,False,False,True,6.0490798938,6.1815374955,False,False,False,True
h105-o900-d30-a100-fast-decode-shift0,h105-o900-d30-a100-fast,h105-o900-d30,a100,decode,tight-TPOT,0,primary,0.0,-0.06291618235051354,0.0170742464,0.0174481237,False,False,False,True,0.016,0.0167083805,False,False,False,True,0.0170742464,0.0174481237,False,False,False,True
h105-o900-d30-a100-fast-relaxed_decode-shift0,h105-o900-d30-a100-fast,h105-o900-d30,a100,relaxed_decode,relaxed-TPOT (fixed TTFT),0,primary,-0.9518059117027338,-0.9518059117027338,1.6138043855,1.6491421,False,False,False,True,1.6138043855,1.6491421,False,False,False,True,33.4855257671,34.2187633026,False,False,False,True
h105-o900-d30-heterogeneous-fast-decode-shift-1,h105-o900-d30-heterogeneous-fast,h105-o900-d30,heterogeneous,decode,tight-TPOT,-1,primary,0.0,-0.021427942871427817,0.0087240619,0.008915094,False,False,False,True,0.0085371232,0.0087240619,False,False,False,True,0.0087240619,0.008915094,False,False,False,True
