grid_version,workload,SLA,scheduled,reference_safe_E_unsupported,reference_safe_E_hard_resource,conservative_latency,optimistic_latency,optimistic_reference_hard_resource,unverified_approval,E_profile_domain_unknown,E_service_cost_unknown,E_hard_resource_rejection,E_latency_rejection,R_unknown
G0,w202,S5,125,0,0,0,0,0,0,45,0,0,22,0
G0,w202,S6,125,0,0,7,0,0,0,45,0,0,15,0
G0,w203,S1,125,0,0,0,0,0,0,0,0,0,125,0
G0,w203,S2,125,0,0,0,0,0,0,0,0,0,125,0
G0,w203,S3,125,0,0,0,0,0,0,0,0,0,125,0
G0,w203,S4,125,0,0,56,0,0,0,0,0,0,73,0
G0,w203,S5,125,0,0,60,0,0,0,0,0,0,60,0
G0,w203,S6,125,0,0,60,0,0,0,0,0,0,60,0
G0,w204,S1,125,0,0,0,0,0,0,45,0,0,80,0
G0,w204,S2,125,0,0,0,0,0,0,45,0,0,80,0
G0,w204,S3,125,0,0,0,0,0,0,45,0,0,80,0
G0,w204,S4,125,0,0,1,0,0,0,45,0,0,37,0
G0,w204,S5,125,0,0,0,0,0,0,45,0,0,34,0
G0,w204,S6,125,0,0,4,0,0,0,45,0,0,20,0
G1,h101,S1,405,0,0,0,0,0,0,200,0,0,205,0
G1,h101,S2,405,0,0,0,0,0,0,200,0,0,205,0
G1,h101,S3,405,0,0,0,0,0,0,200,0,0,205,0
G1,h101,S4,405,0,0,5,0,0,0,200,0,0,53,0
G1,h101,S5,405,0,0,1,0,0,0,200,0,0,36,0
G1,h101,S6,405,29,0,13,0,0,0,200,0,0,15,0
G1,h102,S1,415,0,0,0,0,0,0,235,0,0,180,0
G1,h102,S2,415,0,0,0,0,0,0,235,0,0,180,0
G1,h102,S3,415,0,0,0,0,0,0,235,0,0,180,0
G1,h102,S4,415,0,0,5,0,0,0,235,0,0,41,0
G1,h102,S5,415,0,0,0,3,0,0,235,0,0,27,0
G1,h102,S6,415,0,0,0,1,0,0,235,0,0,10,0
G1,h103,S1,380,0,0,0,0,0,0,210,0,0,170,0
G1,h103,S2,380,0,0,0,0,0,0,210,0,0,170,0
G1,h103,S3,380,0,0,0,0,0,0,210,0,0,170,0
G1,h103,S4,380,0,0,4,0,0,0,210,0,0,79,0
G1,h103,S5,380,0,0,1,1,0,0,210,0,0,65,0
G1,h103,S6,380,0,0,5,1,0,0,210,0,0,45,0
G1,h104,S1,290,0,0,0,0,0,0,150,0,0,140,0
G1,h104,S2,290,0,0,0,0,0,0,150,0,0,140,0
G1,h104,S3,290,0,0,0,0,0,0,150,0,0,140,0
G1,h104,S4,290,0,0,5,0,0,0,150,0,0,57,0
G1,h104,S5,290,0,0,0,3,0,0,150,0,0,42,0
G1,h104,S6,290,0,0,0,5,0,0,150,0,0,10,0
G1,h105,S1,395,0,0,0,0,0,0,230,0,0,165,0
G1,h105,S2,395,0,0,0,0,0,0,230,0,0,165,0
G1,h105,S3,395,0,0,0,0,0,0,230,0,0,165,0
G1,h105,S4,395,0,0,3,0,0,0,230,0,0,47,0
G1,h105,S5,395,1,0,2,0,0,0,230,0,0,32,0
G1,h105,S6,395,186,0,13,0,0,0,230,0,0,17,0
G1,h106,S1,345,0,0,0,0,0,0,130,0,0,215,0
G1,h106,S2,345,0,0,0,0,0,0,130,0,0,215,0
G1,h106,S3,345,0,0,0,0,0,0,130,0,0,215,0
G1,h106,S4,345,0,0,12,0,0,0,130,0,0,129,0
G1,h106,S5,345,0,0,0,12,0,0,130,0,0,71,0
G1,h106,S6,345,0,0,3,0,0,0,130,0,0,20,0
G1,w201,S1,155,0,0,0,0,0,0,45,0,0,110,0
G1,w201,S2,155,0,0,0,0,0,0,45,0,0,110,0
G1,w201,S3,155,0,0,0,0,0,0,45,0,0,110,0
G1,w201,S4,155,0,0,6,0,0,0,45,0,0,56,0
G1,w201,S5,155,0,0,3,0,0,0,45,0,0,42,0
G1,w201,S6,155,17,0,25,0,0,0,45,0,0,25,0
G1,w202,S1,155,0,0,0,0,0,0,45,0,0,110,0
G1,w202,S2,155,0,0,0,0,0,0,45,0,0,110,0
G1,w202,S3,155,0,0,0,0,0,0,45,0,0,110,0
G1,w202,S4,155,0,0,2,0,0,0,45,0,0,52,0
G1,w202,S5,155,0,0,0,1,0,0,45,0,0,32,0
G1,w202,S6,155,0,0,11,0,0,0,45,0,0,24,0
G1,w203,S1,155,0,0,0,0,0,0,0,0,0,155,0
G1,w203,S2,155,0,0,0,0,0,0,0,0,0,155,0
