grid_version,workload,metric,weighting,median_signed,median_absolute,p90_absolute,p95_absolute,mean_signed,MAE,min,max,na_reason,request_count
G1,h106,TPOT,request-pooled supplement,-5.9027202524791766e-05,0.005058471775196527,0.04969624796455352,0.061137607202272626,-0.005091033666083444,0.017516326940893782,-0.1389062709427219,1.1747441173711288,,10535
G1,w201,TTFT,request-pooled supplement,0.16265113452222124,0.16265113452222124,2.660703206692588,6.873617798790338,1.0233282203348506,1.0655688778548458,-0.09857831094717984,18.581922001769897,,1430
G1,w201,TPOT,request-pooled supplement,-5.899360189687286e-05,0.0027384822120758434,0.032310912230976874,0.04841458603759441,-0.003680426765924873,0.011822440139756989,-0.3309550446251588,0.17309690647592352,,1430
G1,w202,TTFT,request-pooled supplement,0.15032923624630712,0.1504606990999946,0.3161094345356048,1.353631125769283,0.3153199558438576,0.3601439160586623,-0.2659798354463305,7.731868748455803,,5280
G1,w202,TPOT,request-pooled supplement,-5.9027202553352254e-05,0.0014984548666520658,0.04231449638509849,0.055743828085138614,-0.0023176716159826944,0.012500638614479852,-0.1551887949581235,0.31943204770254086,,5280
G1,w203,TTFT,request-pooled supplement,0.20612319436365922,0.20612319436365922,6.291080318003084,6.342196754847226,2.1690056165428047,2.202686591248194,-0.07106875362660503,6.431380529721102,,775
G1,w203,TPOT,request-pooled supplement,0.004079029466658918,0.004261615706773553,0.010151903596401834,0.013152868779248816,0.004174280829908243,0.005069650506227111,-0.02738287558578284,0.039709439765533844,,775
G1,w204,TTFT,request-pooled supplement,0.08901703602356292,0.11153772318112942,0.6927268901279717,4.092793419471903,0.590216739674833,0.6336219812378494,-0.3138592041113384,21.913008918702886,,4840
G1,w204,TPOT,request-pooled supplement,-5.8993603061108235e-05,0.000776211485872258,0.05106321946801756,0.07170865073758526,0.0026064154291630323,0.019440847716350827,-0.3299175991920084,0.8532171397157852,,4840
G1,ALL,TTFT,request-pooled supplement,-0.005430502779745439,0.09857831094717717,0.296683204761905,1.7453061722678171,0.4174486919542096,0.464309216072133,-0.7032892927994112,22.63690421704335,,52060
G1,ALL,TPOT,request-pooled supplement,-5.899363076880548e-05,0.00030797439744978394,0.04329989164406722,0.058165962166165375,-0.003896136417634031,0.013442997093642986,-0.3309550446251588,2.3493683838872585,,52060
