grid_version,workload,scope,SLA,metric,error_kind,median_signed,median_absolute,p90_absolute,p95_absolute,mean_signed,MAE,min,max,na_reason,valid_workloads,valid_candidates,valid_points,valid_requests,inapplicable_or_small_reference_requests,weighting
G1,h102,service_relevant,S2,TPOT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h102,full_grid,S3,TTFT,SLA_budget_normalized,-0.0038170924090081826,0.010310084970418151,0.03719197289162205,0.08399898343549239,0.03494460164901367,0.04518863793349353,-0.03788253316815826,3.1164932772503513,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,full_grid,S3,TPOT,SLA_budget_normalized,-0.00029513606932596304,0.00029513609366454974,0.11106157113218385,0.21847146775894416,0.004315126746672499,0.04946082613377743,-1.2313262813160102,11.746841919436292,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,service_relevant,S3,TTFT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h102,service_relevant,S3,TTFT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h102,service_relevant,S3,TPOT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h102,service_relevant,S3,TPOT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h102,full_grid,S4,TTFT,SLA_budget_normalized,-0.0038170924090081826,0.010310084970418151,0.03719197289162205,0.08399898343549239,0.03494460164901367,0.04518863793349353,-0.03788253316815826,3.1164932772503513,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,full_grid,S4,TPOT,SLA_budget_normalized,-0.00023610885546077043,0.0002361088749316398,0.08884925690574708,0.17477717420715533,0.003452101397338,0.03956866090702194,-0.9850610250528082,9.397473535549034,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,service_relevant,S4,TTFT,SLA_budget_normalized,-0.004348337360492375,0.010044462552438441,0.02676953742866317,0.03331540893153336,-0.0019925132966156387,0.010635057944530851,-0.01881984021383687,0.040043176411624394,,1,5,144,7776,0,equal workload/candidate/point/request
G1,h102,service_relevant,S4,TTFT,seconds,-0.02609002416295425,0.06026677531463065,0.16061722457197902,0.19989245358920016,-0.01195507977969383,0.0638103476671851,-0.11291904128302122,0.24025905846974638,,1,5,144,7776,0,equal workload/candidate/point/request
G1,h102,service_relevant,S4,TPOT,SLA_budget_normalized,-0.00023610885546077043,0.0002361088684144086,0.0029305043286474985,0.011643342005353108,0.0016733604793210133,0.0020553922937402245,-0.008036716554319923,0.12348545413199497,,1,5,144,7776,0,equal workload/candidate/point/request
G1,h102,service_relevant,S4,TPOT,seconds,-5.902721386519261e-05,5.902721710360215e-05,0.0007326260821618746,0.002910835501338277,0.0004183401198302533,0.0005138480734350561,-0.0020091791385799807,0.03087136353299874,,1,5,144,7776,0,equal workload/candidate/point/request
G1,h102,full_grid,S5,TTFT,SLA_budget_normalized,-0.0038170924090081826,0.010310084970418151,0.03719197289162205,0.08399898343549239,0.03494460164901367,0.04518863793349353,-0.03788253316815826,3.1164932772503513,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,full_grid,S5,TPOT,SLA_budget_normalized,-0.00019675737955064204,0.0001967573957763665,0.0740410474214559,0.14564764517262946,0.0028767511644483333,0.03297388408918495,-0.8208841875440069,7.831227946290862,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,service_relevant,S5,TTFT,SLA_budget_normalized,-0.004299148026196538,0.010113327619061844,0.029498466508466475,0.034764268548618325,-0.00013600282275617155,0.011772581954970924,-0.01881984021383687,0.04198425167176841,,1,5,153,8262,0,equal workload/candidate/point/request
G1,h102,service_relevant,S5,TTFT,seconds,-0.02579488815717923,0.060679965714371065,0.17699079905079884,0.20858561129170994,-0.0008160169365370294,0.07063549172982554,-0.11291904128302122,0.25190551003061046,,1,5,153,8262,0,equal workload/candidate/point/request
G1,h102,service_relevant,S5,TPOT,SLA_budget_normalized,-0.00019675737955064204,0.00019675739048162039,0.009772009912572082,0.029095406088286424,0.0022728604398531216,0.004011656074882663,-0.26584191224375536,0.14465839976013345,,1,5,153,8262,0,equal workload/candidate/point/request
G1,h102,service_relevant,S5,TPOT,seconds,-5.902721386519261e-05,5.902721714448611e-05,0.0029316029737716243,0.008728621826485927,0.0006818581319559366,0.001203496822464799,-0.0797525736731266,0.04339751992804003,,1,5,153,8262,0,equal workload/candidate/point/request
G1,h102,full_grid,S6,TTFT,SLA_budget_normalized,-0.0038170924090081826,0.010310084970418151,0.03719197289162205,0.08399898343549239,0.03494460164901367,0.04518863793349353,-0.03788253316815826,3.1164932772503513,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,full_grid,S6,TPOT,SLA_budget_normalized,-0.00011805442773038521,0.0001180544374658199,0.04442462845287354,0.08738858710357766,0.001726050698669,0.01978433045351097,-0.4925305125264041,4.698736767774517,,1,5,180,9720,0,equal workload/candidate/point/request
G1,h102,service_relevant,S6,TTFT,SLA_budget_normalized,-0.0038466061332655954,0.010251057761479387,0.03438207559693751,0.0374853309052862,0.005102902851575548,0.015924236672186835,-0.03788253316815826,0.8434283991075328,,1,5,170,9180,0,equal workload/candidate/point/request
G1,h102,service_relevant,S6,TTFT,seconds,-0.023079636799593573,0.061506346568876324,0.20629245358162507,0.2249119854317172,0.030617417109453288,0.09554542003312101,-0.22729519900894957,5.060570394645197,,1,5,170,9180,0,equal workload/candidate/point/request
G1,h102,service_relevant,S6,TPOT,SLA_budget_normalized,-0.00011805442773038521,0.0001180544373961534,0.026328646939828615,0.06919040014159739,-0.005089453110256863,0.009167820042249988,-0.4925305125264041,0.10331266963844776,,1,5,170,9180,0,equal workload/candidate/point/request
G1,h102,service_relevant,S6,TPOT,seconds,-5.902721386519261e-05,5.90272186980767e-05,0.013164323469914307,0.03459520007079869,-0.0025447265551284317,0.004583910021124994,-0.24626525626320206,0.05165633481922388,,1,5,170,9180,0,equal workload/candidate/point/request
G1,h103,full_grid,,TTFT,seconds,0.12942034671838343,0.12942034671838343,12.140961874751879,14.924233184855957,2.513132722661142,2.565019579403463,-0.10483231434773188,22.63690421704335,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,full_grid,,TTFT,relative,0.02848471395765484,0.02848471395765484,2.802197438529213,4.596795916992569,1.0950670709357058,1.1140937560312643,-0.02226388093083984,33.022949983829456,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,full_grid,,TPOT,seconds,-5.902720297931707e-05,0.0007649731665892168,0.07539952134049127,0.10923042450044596,-0.01765364548480662,0.020209421215998336,-0.21288967937973996,0.046180762720730684,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,full_grid,,TPOT,relative,-0.00027073465590302006,0.0032612915664261906,0.19020014751819028,0.24548873998497614,-0.04358945634608914,0.0535602147973836,-0.46010214576562264,0.17549998683870902,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,full_grid,S1,TTFT,SLA_budget_normalized,0.051768138687353374,0.051768138687353374,4.8563847499007515,5.969693273942383,1.0052530890644569,1.0260078317613852,-0.041932925739092755,9.05476168681734,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,full_grid,S1,TPOT,SLA_budget_normalized,-0.0003935146865287805,0.005099821110594779,0.5026634756032752,0.728202830002973,-0.1176909698987108,0.13472947477332223,-1.4192645291982664,0.3078717514715379,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,service_relevant,S1,TTFT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h103,service_relevant,S1,TTFT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h103,service_relevant,S1,TPOT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h103,service_relevant,S1,TPOT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h103,full_grid,S2,TTFT,SLA_budget_normalized,0.051768138687353374,0.051768138687353374,4.8563847499007515,5.969693273942383,1.0052530890644569,1.0260078317613852,-0.041932925739092755,9.05476168681734,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,full_grid,S2,TPOT,SLA_budget_normalized,-0.00019675734326439026,0.0025499105552973895,0.2513317378016376,0.3641014150014865,-0.0588454849493554,0.06736473738666111,-0.7096322645991332,0.15393587573576895,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,service_relevant,S2,TTFT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h103,service_relevant,S2,TTFT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h103,service_relevant,S2,TPOT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h103,service_relevant,S2,TPOT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h103,full_grid,S3,TTFT,SLA_budget_normalized,0.02157005778639724,0.02157005778639724,2.0234936457919797,2.487372197475993,0.41885545377685707,0.42750326323391047,-0.017472052391288646,3.772817369507225,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,full_grid,S3,TPOT,SLA_budget_normalized,-0.00029513601489658536,0.003824865832946084,0.37699760670245636,0.5461521225022298,-0.0882682274240331,0.10104710607999166,-1.0644483968986997,0.23090381360365342,,1,5,170,2550,0,equal workload/candidate/point/request
G1,h103,service_relevant,S3,TTFT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h103,service_relevant,S3,TTFT,seconds,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
G1,h103,service_relevant,S3,TPOT,SLA_budget_normalized,,,,,,,,,empty applicable subset,0,0,0,0,0,equal workload/candidate/point/request
