case_id,group,workload,duration_s,seed,kind,shift,regime,link,role,status,absolute_gap,relative_gap,precise_sampled_gap,largest_relative_bracket,evaluator_largest_safe,evaluator_nearest_unsafe_above,evaluator_all_unsafe,evaluator_right_censored,evaluator_nonmonotone,evaluator_single_boundary_supported,reference_largest_safe,reference_nearest_unsafe_above,reference_all_unsafe,reference_right_censored,reference_nonmonotone,reference_single_boundary_supported
h103-o500-d30-heterogeneous-slow-prefill-shift0,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,0,prefill,slow,primary,ok,-6.968469326,-0.7153028413135066,True,0.021897148658462928,2.7735153601,2.8342474382,False,False,False,True,9.7419846861,9.955306373,False,False,False,True
h103-o500-d30-heterogeneous-slow-prefill-shift1,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,1,prefill,slow,primary,ok,-6.759718683,-0.7090687853082317,True,0.021897148654510312,2.7735153601,2.8342474382,False,False,False,True,9.5332340431,9.7419846861,False,False,False,True
h103-o500-d30-heterogeneous-slow-prefill-shift2,h103-o500-d30-heterogeneous-slow,h103-o500-d30,30,103,heterogeneous,2,prefill,slow,primary,ok,-5.7204433874,-0.6686908392155464,True,0.021897148662297194,2.8342474382,2.8963093757,False,False,False,True,8.5546908256,8.7420141623,False,False,False,True
h104-o700-d120-a100-fast-decode-shift0,h104-o700-d120-a100-fast,h104-o700-d120,120,104,a100,0,decode,fast,primary,ok,0.0,0.0,True,0.02189714726606029,0.0065830219,0.0067271713,False,False,False,True,0.0065830219,0.0067271713,False,False,False,True
h104-o700-d120-a100-fast-relaxed_decode-shift0,h104-o700-d120-a100-fast,h104-o700-d120,120,104,a100,0,relaxed_decode,fast,primary,ok,0.0008154322000000006,0.021897148664234718,True,0.021897148664234756,0.0380546277,0.0388879155,False,False,False,True,0.0372391955,0.0380546277,False,False,False,True
h104-o700-d120-heterogeneous-fast-decode-shift-1,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,-1,decode,fast,primary,ok,0.0,0.0,True,0.021897168307534853,0.0033635856,0.0034372386,False,False,False,True,0.0033635856,0.0034372386,False,False,False,True
h104-o700-d120-heterogeneous-fast-decode-shift-2,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,-2,decode,fast,primary,ok,0.0,0.0,True,0.021897140453322583,0.0035125043,0.0035894181,False,False,False,True,0.0035125043,0.0035894181,False,False,False,True
h104-o700-d120-heterogeneous-fast-decode-shift0,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,0,decode,fast,primary,ok,0.0,0.0,True,0.02189714759869088,0.0032915109,0.0033635856,False,False,False,True,0.0032915109,0.0033635856,False,False,False,True
h104-o700-d120-heterogeneous-fast-decode-shift1,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,1,decode,fast,primary,ok,0.0,0.0,True,0.021897151445122054,0.0032209806,0.0032915109,False,False,False,True,0.0032209806,0.0032915109,False,False,False,True
h104-o700-d120-heterogeneous-fast-decode-shift2,h104-o700-d120-heterogeneous-fast,h104-o700-d120,120,104,heterogeneous,2,decode,fast,primary,ok,0.0,0.0,True,0.02189715763034661,0.0031519616,0.0032209806,False,False,False,True,0.0031519616,0.0032209806,False,False,False,True
