group,shift,intensity,origin,status,sla,semantics,point_record,evaluator_safe,reference_safe,evaluator_first_violation_count,reference_violation_type,reference_violating_requests,reference_request_count,reference_violating_request_fraction,reference_max_ttft_excess_s,reference_max_tpot_excess_s
h101-o60-d30-heterogeneous-fast,-2,8.933439346,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,1ddf71316065e6231d55b4614a39d4857b1171f17b5e6b8ccbe7733be5d2c782,False,False,1,TPOT only,16,16,1.0,0.0,4.661075807494164
h101-o60-d30-heterogeneous-fast,-1,0.064,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,1f7e65a5555096e2138cd1a70b861d1734fe8bc0ca2ab27a0722110f2babadc5,False,False,1,TPOT only,10,16,0.625,0.0,4.097178049600602
h101-o60-d30-heterogeneous-fast,0,0.0101524076,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,1fe17e207f47b881cf49c9c98c2c2ccf9194841dadd6cbb9a5fa1990252f431c,False,False,1,TPOT only,1,16,0.0625,0.0,2.1473161239004686
h101-o60-d30-heterogeneous-fast,2,0.0123376866,stage4_new,ok,TTFT5.2_TPOT0.3,raw,1ff277353115bb8a9c1ea42497db59d818fc1805d0bf51a19ffd2eba759c8c78,False,False,1,TPOT only,2,16,0.125,0.0,1.952000357611796
h101-o60-d30-heterogeneous-fast,-1,65.536,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,2082be138ed11e333278bc62c5242840f46dfc63b186ef733246ea12894c9f2c,False,False,1,both,16,16,1.0,2.0177119255571885,4.373297563163211
h101-o60-d30-heterogeneous-fast,0,0.022627417,stage4_new,ok,TTFT5.2_TPOT0.3,raw,2087cce3ef04bbf9469637bf089c0ff872aee62b9b591133d2f9270e77ece300,False,False,1,TPOT only,3,16,0.1875,0.0,2.087166614721541
h101-o60-d30-heterogeneous-fast,-2,0.256,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,20aabcd9c4ea3bbd3de85aba12a9ceea294872e71134862afb07bc34dea09a70,False,False,1,TPOT only,15,16,0.9375,0.0,4.318830284803058
h101-o60-d30-heterogeneous-fast,0,0.008915094,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,20c6537a556454a0d671d0cea28ec4de8b30d58bb0e98c6f37e20908d9a7fd6e,True,True,0,,0,16,0.0,0.0,0.0
h101-o60-d30-heterogeneous-fast,-1,0.0118146092,stage4_new,ok,TTFT5.2_TPOT0.3,raw,21172cf234c0069a6bf8536ac3333eaa0bc341f530f4d3e31aac6bc5fae47ff9,False,False,1,TPOT only,2,16,0.125,0.0,2.1429001414670257
h101-o60-d30-heterogeneous-fast,0,0.0246753732,stage4_new,ok,TTFT5.2_TPOT0.3,raw,2163809007327c38fcb2a5223cbbf90aa9b39f1b85476d743f2a7e1e5ec76d67,False,False,1,TPOT only,3,16,0.1875,0.0,2.0056407921481583
h101-o60-d30-heterogeneous-fast,1,65.536,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,21b994b4f59f5c8c35b8623e545f07d3c3bcf00ca35bd331a906b36f3471bb79,False,False,1,both,16,16,1.0,1.8029759719571974,4.237256971452815
h101-o60-d30-heterogeneous-fast,-2,3.9223430378,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,22e0e8c4ef701c56d94fc626d6b5fb7e6f2e72196800c318561e308b6ff64d8a,False,False,1,TPOT only,16,16,1.0,0.0,4.256784961843965
h101-o60-d30-heterogeneous-fast,2,3.0907687477,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,22febb482403f3f7d3a88efc2a934afed1816e0c62434cf62ea7c4982a56663b,False,False,1,TPOT only,16,16,1.0,0.0,2.614730308607453
h101-o60-d30-heterogeneous-fast,-1,3.1584477704,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,24cb9f03e77f7d317e1a071122e81e8b5ee372c045c21073c767229b5f1f5d07,False,False,1,TPOT only,16,16,1.0,0.0,2.68510451363345
h101-o60-d30-heterogeneous-fast,1,6.8886234338,stage4_new,ok,TTFT5.2_TPOT0.3,raw,27187178b3fadf431f813a2e4dd7589fb5adf6df76f00e42bd04d0e30364c4d9,False,False,1,TPOT only,16,16,1.0,0.0,3.393557865913974
h101-o60-d30-heterogeneous-fast,2,11.8389211708,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,27638f520083df95b02bbcc9782d3cacaae65d8bca8c4d711532f742eda796da,False,False,1,both,16,16,1.0,0.2252678587367587,4.492795428763211
h101-o60-d30-heterogeneous-fast,-2,4.1856907209,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,28927a10e4a8fc1c376b828bca52d43b64c91e95cf00a45bab8cdc87e1eeb28d,False,False,1,TPOT only,16,16,1.0,0.0,4.057751769481562
h101-o60-d30-heterogeneous-fast,-2,8.192,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,29a5fd033fd3410567a23777c7b9cc2728a4e190d4cac60413297de7add063f2,False,False,1,TPOT only,16,16,1.0,0.0,4.678673234338402
h101-o60-d30-heterogeneous-fast,-2,0.0091103091,stage3_reuse,ok,TTFT5.2_TPOT0.3,raw,29b4fb6b6c4b65d11ca509ecb1c992b14f3e1c820575fd0119df1447a57487ee,True,True,0,,0,16,0.0,0.0,0.0
