group,regime,variant,selected_shift,evaluator_best_set,reference_best_set,selected_reference_rank,reference_regret,normalized_reference_quality,winner_agrees,abstention,spearman,reference_top_gap,evaluator_scores,reference_scores,evaluator_right_censored,evaluator_nonmonotone,selected_changed_from_nominal,new_decision_error
h102-o300-d120-heterogeneous-slow,prefill,both_minus10,0,"[-2,-1,0,1,2]",[0],1,0.0,1.0,True,False,,0.8085453401000002,"{""-2"":2.8963093757,""-1"":2.8963093757,""0"":2.8963093757,""1"":2.8963093757,""2"":2.8963093757}","{""-2"":7.6765906294,""-1"":8.5546908256,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}",False,False,True,False
h102-o300-d120-heterogeneous-slow,prefill,both_minus20,1,"[1,2]",[0],2,0.8085453401000002,0.9170040432055242,False,False,0.0,0.8085453401000002,"{""-2"":2.8963093757,""-1"":2.8963093757,""0"":2.8963093757,""1"":4.096,""2"":4.096}","{""-2"":7.6765906294,""-1"":8.5546908256,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}",False,False,False,False
h102-o300-d120-heterogeneous-slow,prefill,both_minus5,0,"[-2,-1,0,1,2]",[0],1,0.0,1.0,True,False,,0.8085453401000002,"{""-2"":2.8963093757,""-1"":2.8963093757,""0"":2.8963093757,""1"":2.8963093757,""2"":2.8963093757}","{""-2"":7.6765906294,""-1"":8.5546908256,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}",False,False,True,False
h102-o300-d120-heterogeneous-slow,prefill,decode_minus10,1,"[1,2]",[0],2,0.8085453401000002,0.9170040432055242,False,False,0.41039134083406165,0.8085453401000002,"{""-2"":1.5122699735,""-1"":2.332239124,""0"":2.4354961715,""1"":2.4888265932,""2"":2.4888265932}","{""-2"":7.6765906294,""-1"":8.5546908256,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}",False,False,False,False
h102-o300-d120-heterogeneous-slow,prefill,decode_minus20,1,"[1,2]",[0],2,0.8085453401000002,0.9170040432055242,False,False,0.31622776601683794,0.8085453401000002,"{""-2"":1.5122699735,""-1"":2.4354961715,""0"":2.4354961715,""1"":2.4888265932,""2"":2.4888265932}","{""-2"":7.6765906294,""-1"":8.5546908256,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}",False,False,False,False
h102-o300-d120-heterogeneous-slow,prefill,decode_minus5,1,"[1,2]",[0],2,0.8085453401000002,0.9170040432055242,False,False,0.41039134083406165,0.8085453401000002,"{""-2"":1.5122699735,""-1"":2.332239124,""0"":2.4354961715,""1"":2.4888265932,""2"":2.4888265932}","{""-2"":7.6765906294,""-1"":8.5546908256,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}",False,False,False,False
h102-o300-d120-heterogeneous-slow,prefill,l4x2_minus10,0,"[-2,-1,0,1,2]",[0],1,0.0,1.0,True,False,,0.8085453401000002,"{""-2"":2.8963093757,""-1"":2.8963093757,""0"":2.8963093757,""1"":2.8963093757,""2"":2.8963093757}","{""-2"":7.6765906294,""-1"":8.5546908256,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}",False,False,True,False
h102-o300-d120-heterogeneous-slow,prefill,nominal,1,"[1,2]",[0],2,0.8085453401000002,0.9170040432055242,False,False,0.41039134083406165,0.8085453401000002,"{""-2"":1.5122699735,""-1"":2.332239124,""0"":2.4354961715,""1"":2.4888265932,""2"":2.4888265932}","{""-2"":7.6765906294,""-1"":8.5546908256,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}",False,False,False,False
h102-o300-d120-heterogeneous-slow,prefill,prefill_minus10,0,"[-2,-1,0,1,2]",[0],1,0.0,1.0,True,False,,0.8085453401000002,"{""-2"":2.8963093757,""-1"":2.8963093757,""0"":2.8963093757,""1"":2.8963093757,""2"":2.8963093757}","{""-2"":7.6765906294,""-1"":8.5546908256,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}",False,False,True,False
h102-o300-d120-heterogeneous-slow,prefill,prefill_minus20,2,[2],[0],4,1.3706032442999998,0.8593096490640562,False,False,-0.35355339059327373,0.8085453401000002,"{""-2"":2.8963093757,""-1"":2.8963093757,""0"":2.8963093757,""1"":2.8963093757,""2"":4.096}","{""-2"":7.6765906294,""-1"":8.5546908256,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}",False,False,True,False
h102-o300-d120-heterogeneous-slow,prefill,prefill_minus5,0,"[-2,-1,0,1,2]",[0],1,0.0,1.0,True,False,,0.8085453401000002,"{""-2"":2.8963093757,""-1"":2.8963093757,""0"":2.8963093757,""1"":2.8963093757,""2"":2.8963093757}","{""-2"":7.6765906294,""-1"":8.5546908256,""0"":9.7419846861,""1"":8.933439346,""2"":8.3713814418}",False,False,True,False
h103-o500-d30-heterogeneous-slow,decode,both_minus10,0,"[-2,-1,0]",[-2],3,0.0005256137999999997,0.9370838128980615,False,False,0.8944271909999159,0.00035419029999999956,"{""-2"":0.0087240619,""-1"":0.0087240619,""0"":0.0087240619,""1"":0.0085371232,""2"":0.0083541903}","{""-2"":0.0083541903,""-1"":0.008,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}",False,False,True,True
h103-o500-d30-heterogeneous-slow,decode,both_minus20,0,"[-2,-1,0,1]",[-2],3,0.0005256137999999997,0.9370838128980615,False,False,0.7071067811865475,0.00035419029999999956,"{""-2"":0.0095136569,""-1"":0.0095136569,""0"":0.0095136569,""1"":0.0095136569,""2"":0.0087240619}","{""-2"":0.0083541903,""-1"":0.008,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}",False,False,True,True
h103-o500-d30-heterogeneous-slow,decode,both_minus5,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00035419029999999956,"{""-2"":0.0087240619,""-1"":0.0085371232,""0"":0.0083541903,""1"":0.008,""2"":0.0078285765}","{""-2"":0.0083541903,""-1"":0.008,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}",False,False,False,False
h103-o500-d30-heterogeneous-slow,decode,decode_minus10,0,"[-2,-1,0]",[-2],3,0.0005256137999999997,0.9370838128980615,False,False,0.8944271909999159,0.00035419029999999956,"{""-2"":0.0087240619,""-1"":0.0087240619,""0"":0.0087240619,""1"":0.0085371232,""2"":0.0083541903}","{""-2"":0.0083541903,""-1"":0.008,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}",False,False,True,True
h103-o500-d30-heterogeneous-slow,decode,decode_minus20,0,"[-2,-1,0,1]",[-2],3,0.0005256137999999997,0.9370838128980615,False,False,0.7071067811865475,0.00035419029999999956,"{""-2"":0.0095136569,""-1"":0.0095136569,""0"":0.0095136569,""1"":0.0095136569,""2"":0.0087240619}","{""-2"":0.0083541903,""-1"":0.008,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}",False,False,True,True
h103-o500-d30-heterogeneous-slow,decode,decode_minus5,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00035419029999999956,"{""-2"":0.0087240619,""-1"":0.0085371232,""0"":0.0083541903,""1"":0.008,""2"":0.0078285765}","{""-2"":0.0083541903,""-1"":0.008,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}",False,False,False,False
h103-o500-d30-heterogeneous-slow,decode,l4x2_minus10,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00035419029999999956,"{""-2"":0.0087240619,""-1"":0.0085371232,""0"":0.0083541903,""1"":0.0081751772,""2"":0.008}","{""-2"":0.0083541903,""-1"":0.008,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}",False,False,False,False
h103-o500-d30-heterogeneous-slow,decode,nominal,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00035419029999999956,"{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}","{""-2"":0.0083541903,""-1"":0.008,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}",False,False,False,False
h103-o500-d30-heterogeneous-slow,decode,prefill_minus10,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00035419029999999956,"{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}","{""-2"":0.0083541903,""-1"":0.008,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}",False,False,False,False
h103-o500-d30-heterogeneous-slow,decode,prefill_minus20,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00035419029999999956,"{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}","{""-2"":0.0083541903,""-1"":0.008,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}",False,False,False,False
h103-o500-d30-heterogeneous-slow,decode,prefill_minus5,-2,[-2],[-2],1,0.0,1.0,True,False,1.0,0.00035419029999999956,"{""-2"":0.0083541903,""-1"":0.0081751772,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}","{""-2"":0.0083541903,""-1"":0.008,""0"":0.0078285765,""1"":0.0076608262,""2"":0.0074966705}",False,False,False,False
h103-o500-d30-heterogeneous-slow,prefill,both_minus10,0,"[-2,-1,0,1,2]",[0],1,0.0,1.0,True,False,,0.20875064300000012,"{""-2"":2.8963093757,""-1"":2.8963093757,""0"":2.8963093757,""1"":2.8963093757,""2"":2.8963093757}","{""-2"":7.1936088489,""-1"":8.192,""0"":9.7419846861,""1"":9.5332340431,""2"":8.5546908256}",False,False,True,False
h103-o500-d30-heterogeneous-slow,prefill,both_minus20,0,"[-2,-1,0,1,2]",[0],1,0.0,1.0,True,False,,0.20875064300000012,"{""-2"":4.096,""-1"":4.096,""0"":4.096,""1"":4.096,""2"":4.096}","{""-2"":7.1936088489,""-1"":8.192,""0"":9.7419846861,""1"":9.5332340431,""2"":8.5546908256}",False,False,True,False
h103-o500-d30-heterogeneous-slow,prefill,both_minus5,0,"[-2,-1,0,1,2]",[0],1,0.0,1.0,True,False,,0.20875064300000012,"{""-2"":2.8963093757,""-1"":2.8963093757,""0"":2.8963093757,""1"":2.8963093757,""2"":2.8963093757}","{""-2"":7.1936088489,""-1"":8.192,""0"":9.7419846861,""1"":9.5332340431,""2"":8.5546908256}",False,False,True,False
h103-o500-d30-heterogeneous-slow,prefill,decode_minus10,2,[2],[0],3,1.1872938605000005,0.8781260801821986,False,False,0.4472135954999579,0.20875064300000012,"{""-2"":2.7140846452,""-1"":2.7735153601,""0"":2.7735153601,""1"":2.7735153601,""2"":2.8342474382}","{""-2"":7.1936088489,""-1"":8.192,""0"":9.7419846861,""1"":9.5332340431,""2"":8.5546908256}",False,False,False,False
