group,regime,kind,role,bias,policy,candidate_count,grid_points,chosen_shift,reported_intensity,output_reference_safe,selected_optimistic,validated_usable_intensity,reference_oracle_intensity,normalized_usable_quality,reference_regret,abstention,reference_calls,evaluator_calls,evaluator_runtime_s,replayed_reference_runtime_s,estimated_planning_runtime_s,query_trace,grid_optimistic,grid_conservative,grid_denominator
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,0.9,capacity_derating_20pct,1,20,0,0.045254834,True,False,0.045254834,0.062628612,0.7225904032489177,0.017373778,False,0,20,0.18972139985999092,0.0,0.18972139985999092,[],0,4,20
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,0.9,four_scenarios,1,20,0,0.0538173706,True,False,0.0538173706,0.062628612,0.8593096490786032,0.008811241400000003,False,0,80,0.6971423997892998,0.0,0.6971423997892998,[],0,3,20
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,0.9,selected_point_reference,1,20,,,,False,0.0,0.062628612,0.0,0.062628612,True,1,20,0.18972139985999092,10.708579699974507,10.898301099834498,"[{""shift"":0,""intensity"":0.064,""safe"":false}]",,,
h101-o60-d30-a100-fast,relaxed_decode,a100,primary,0.9,selected_partition_boundary_reference,1,20,0,0.062628612,True,False,0.062628612,0.062628612,1.0,0.0,False,5,20,0.18972139985999092,58.65622549987165,58.84594689973164,"[{""shift"":0,""intensity"":0.064,""safe"":false},{""shift"":0,""intensity"":0.062628612,""safe"":true},{""shift"":0,""intensity"":0.256,""safe"":false},{""shift"":0,""intensity"":0.06128661,""safe"":true},{""shift"":0,""intensity"":1.024,""safe"":false}]",,,
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,1.0,evaluator_only,1,27,0,0.0095136569,True,False,0.0095136569,0.0095136569,1.0,0.0,False,0,27,0.059604500071145594,0.0,0.059604500071145594,[],0,0,27
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,1.0,compute_margin_25pct,1,27,,,,False,0.0,0.0095136569,0.0,0.0095136569,True,0,27,0.039451099932193756,0.0,0.039451099932193756,[],0,4,27
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,1.0,capacity_derating_20pct,1,27,0,0.004,True,False,0.004,0.0095136569,0.4204482085117028,0.0055136569,False,0,27,0.059604500071145594,0.0,0.059604500071145594,[],0,2,27
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,1.0,four_scenarios,1,27,,,,False,0.0,0.0095136569,0.0,0.0095136569,True,0,108,0.23723249981412664,0.0,0.23723249981412664,[],0,4,27
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,1.0,selected_point_reference,1,27,0,0.0095136569,True,False,0.0095136569,0.0095136569,1.0,0.0,False,1,27,0.059604500071145594,12.573244799976237,12.632849300047383,"[{""shift"":0,""intensity"":0.0095136569,""safe"":true}]",,,
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,1.0,selected_partition_boundary_reference,1,27,0,0.0095136569,True,False,0.0095136569,0.0095136569,1.0,0.0,False,5,27,0.059604500071145594,58.36879069992574,58.428395199996885,"[{""shift"":0,""intensity"":0.0095136569,""safe"":true},{""shift"":0,""intensity"":0.0097219789,""safe"":false},{""shift"":0,""intensity"":0.008,""safe"":true},{""shift"":0,""intensity"":0.0099348625,""safe"":false},{""shift"":0,""intensity"":0.004,""safe"":true}]",,,
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,0.9,evaluator_only,1,27,0,0.0103747164,False,True,0.0,0.0095136569,0.0,0.0095136569,False,0,27,0.0997733999392949,0.0,0.0997733999392949,[],3,0,27
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,0.9,compute_margin_25pct,1,27,,,,False,0.0,0.0095136569,0.0,0.0095136569,True,0,27,0.0490987001103349,0.0,0.0490987001103349,[],0,4,27
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,0.9,capacity_derating_20pct,1,27,0,0.008,True,False,0.008,0.0095136569,0.8408964170234056,0.0015136569000000002,False,0,27,0.0997733999392949,0.0,0.0997733999392949,[],0,1,27
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,0.9,four_scenarios,1,27,,,,False,0.0,0.0095136569,0.0,0.0095136569,True,0,108,0.2708200999186374,0.0,0.2708200999186374,[],0,4,27
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,0.9,selected_point_reference,1,27,,,,False,0.0,0.0095136569,0.0,0.0095136569,True,1,27,0.0997733999392949,12.18268030002946,12.282453699968755,"[{""shift"":0,""intensity"":0.0103747164,""safe"":false}]",,,
h101-o60-d30-anchor-slow,decode,heterogeneous,link_anchor,0.9,selected_partition_boundary_reference,1,27,0,0.0095136569,True,False,0.0095136569,0.0095136569,1.0,0.0,False,5,27,0.0997733999392949,62.36985979997553,62.469633199914824,"[{""shift"":0,""intensity"":0.0103747164,""safe"":false},{""shift"":0,""intensity"":0.0099348625,""safe"":false},{""shift"":0,""intensity"":0.0097219789,""safe"":false},{""shift"":0,""intensity"":0.0095136569,""safe"":true},{""shift"":0,""intensity"":0.0113137085,""safe"":false}]",,,
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,1.0,evaluator_only,1,27,0,1.1916542554,True,False,1.1916542554,9.5332340431,0.1250000000013112,8.3415797877,False,0,27,0.3458350998698734,0.0,0.3458350998698734,[],0,8,27
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,1.0,compute_margin_25pct,1,27,,,,False,0.0,9.5332340431,0.0,9.5332340431,True,0,27,0.14687650022096932,0.0,0.14687650022096932,[],0,23,27
h101-o60-d30-anchor-slow,prefill,heterogeneous,link_anchor,1.0,capacity_derating_20pct,1,27,0,0.256,True,False,0.256,9.5332340431,0.026853426533180378,9.2772340431,False,0,27,0.3458350998698734,0.0,0.3458350998698734,[],0,12,27
